90000	浦發銀行	201,184,971	0.71%
90004	白雲機場	278,680,571	13.46%
90006	東風汽車	1,072,603	0.05%
90007	中國國貿	11,941,869	1.18%
90008	首創股份	56,590,203	1.17%
90009	上海機場	325,339,513	29.75%
90010	包鋼股份	115,171,283	0.36%
90011	華能國際	21,533,074	0.20%
90012	皖通高速	6,628,622	0.56%
90015	華夏銀行	49,918,686	0.38%
90016	民生銀行	354,127,104	0.99%
90017	日照港	37,369,145	1.21%
90018	上港集團	40,573,650	0.17%
90019	寶鋼股份	562,740,305	2.54%
90020	中原高速	6,113,132	0.27%
90021	上海電力	4,240,482	0.19%
90023	浙能電力	33,821,891	0.24%
90025	華能水電	4,659,400	0.25%
90026	中遠海能	5,748,883	0.21%
90027	華電國際	21,253,990	0.31%
90028	中國石化	637,816,920	0.66%
90029	南方航空	41,987,222	0.59%
90030	中信證券	158,593,577	1.61%
90031	三一重工	155,801,433	2.02%
90033	福建高速	5,717,745	0.20%
90036	招商銀行	408,824,295	1.98%
90037	歌華有線	2,796,964	0.23%
90038	中直股份	2,679,641	0.45%
90039	四川路橋	6,736,978	0.22%
90048	保利地產	143,946,660	1.22%
90050	中國聯通	151,588,030	0.71%
90053	九鼎投資	407,573	0.09%
90054	黃山旅遊	2,633,022	0.51%
90056	中國醫藥	4,168,935	0.41%
90058	五礦發展	134,647	0.01%
90059	古越龍山	623,048	0.07%
90060	海信電器	8,152,329	0.62%
90061	國投資本	6,460,424	0.17%
90062	華潤雙鶴	14,319,589	2.08%
90063	皖維高新	1,736,933	0.09%
90064	南京高科	1,381,708	0.11%
90066	宇通客車	307,815,999	16.17%
90067	冠城大通	1,183,183	0.07%
90068	葛洲壩	20,221,639	0.43%
90072	中船科技	846,669	0.14%
90073	上海梅林	3,331,263	0.35%
90074	*ST保千	305,338	0.02%
90075	新疆天業	382,226	0.04%
90077	宋都股份	85,070	0.00%
90078	澄星股份	7,123	0.00%
90079	人福醫藥	19,945,333	1.55%
90080	金花股份	12,642	0.00%
90081	東風科技	530,063	0.16%
90085	同仁堂	5,368,594	0.39%
90086	東方金鈺	159,992	0.01%
90088	中視傳媒	224,807	0.05%
90089	特變電工	21,828,316	0.58%
90093	易見股份	244,550	0.02%
90094	大名城	4,664,617	0.20%
90096	雲天化	203,761	0.01%
90098	廣州發展	1,246,388	0.04%
90100	同方股份	11,702,610	0.39%
90101	明星電力	87,251	0.02%
90104	上汽集團	340,298,048	2.95%
90105	永鼎股份	601,217	0.06%
90106	重慶路橋	1,534,781	0.13%
90108	亞盛集團	2,161,148	0.11%
90109	國金證券	22,063,988	0.72%
90110	諾德股份	11,620	0.00%
90111	北方稀土	24,449,214	0.67%
90112	天成控股	231,309	0.04%
90113	浙江東日	95,776	0.03%
90114	東睦股份	17,040,381	2.71%
90115	東方航空	33,144,100	0.33%
90116	三峽水利	2,845,561	0.28%
90118	中國衛星	7,794,810	0.65%
90119	長江投資	770,216	0.25%
90120	浙江東方	139,484	0.02%
90121	鄭州煤電	100	0.00%
90122	宏圖高科	4,205,309	0.36%
90123	蘭花科創	3,735,833	0.32%
90125	鐵龍物流	49,042,714	3.75%
90132	重慶啤酒	105,199	0.02%
90135	樂凱膠片	226,980	0.06%
90138	中青旅	41,563,072	5.74%
90141	興發集團	2,361,592	0.39%
90143	金發科技	5,734,235	0.22%
90150	*ST船舶	959,227	0.06%
90153	建發股份	29,368,751	1.03%
90155	寶碩股份	1,814,911	0.16%
90157	永泰能源	14,056,276	0.11%
90158	中體產業	1,979,558	0.30%
90160	巨化股份	5,274,071	0.19%
90161	天壇生物	1,233,011	0.14%
90162	香江控股	6,349,384	0.26%
90166	福田汽車	6,468,103	0.09%
90167	聯美控股	360,993	0.04%
90168	武漢控股	403,337	0.05%
90169	太原重工	2,649,945	0.10%
90170	上海建工	19,311,117	0.22%
90171	上海貝嶺	1,169,732	0.17%
90172	黃河旋風	7,244,314	0.61%
90173	臥龍地產	921,184	0.12%
