90000	浦發銀行	271,627,529	0.96%
90004	白雲機場	269,643,588	13.03%
90006	東風汽車	1,046,551	0.05%
90007	中國國貿	12,905,071	1.28%
90008	首創股份	59,230,592	1.22%
90009	上海機場	324,468,227	29.67%
90010	包鋼股份	129,807,452	0.40%
90011	華能國際	22,483,316	0.21%
90012	皖通高速	1,724,677	0.14%
90015	華夏銀行	58,786,059	0.45%
90016	民生銀行	484,998,511	1.36%
90017	日照港	37,321,545	1.21%
90018	上港集團	51,683,079	0.22%
90019	寶鋼股份	670,670,843	3.03%
90020	中原高速	8,331,239	0.37%
90021	上海電力	4,844,109	0.22%
90023	浙能電力	41,094,167	0.30%
90025	華能水電	5,799,513	0.32%
90026	中遠海能	4,620,875	0.16%
90027	華電國際	23,074,416	0.34%
90028	中國石化	880,820,507	0.92%
90029	南方航空	57,156,293	0.81%
90030	中信證券	180,171,441	1.83%
90031	三一重工	302,741,230	3.91%
90033	福建高速	5,687,745	0.20%
90036	招商銀行	462,105,321	2.24%
90037	歌華有線	1,485,267	0.12%
90038	中直股份	4,829,607	0.81%
90039	四川路橋	8,592,601	0.28%
90048	保利地產	186,920,769	1.59%
90050	中國聯通	246,131,334	1.16%
90053	九鼎投資	980,893	0.22%
90054	黃山旅遊	4,593,973	0.89%
90056	中國醫藥	3,712,015	0.36%
90058	五礦發展	134,647	0.01%
90059	古越龍山	623,048	0.07%
90060	海信電器	7,164,316	0.54%
90061	國投資本	5,784,452	0.15%
90062	華潤雙鶴	17,978,501	2.18%
90063	皖維高新	1,736,933	0.09%
90064	南京高科	1,380,308	0.11%
90066	宇通客車	325,149,737	17.08%
90067	冠城大通	1,183,183	0.07%
90068	葛洲壩	37,280,505	0.80%
90072	中船科技	107,799	0.01%
90073	上海梅林	1,296,165	0.13%
90074	*ST保千	294,738	0.02%
90075	新疆天業	396,724	0.04%
90077	宋都股份	26,373	0.00%
90078	澄星股份	7,123	0.00%
90079	人福醫藥	22,562,003	1.75%
90080	金花股份	12,642	0.00%
90081	東風科技	530,063	0.16%
90085	同仁堂	7,214,333	0.52%
90086	東方金鈺	159,992	0.01%
90088	中視傳媒	224,807	0.05%
90089	特變電工	24,643,836	0.66%
90093	易見股份	244,116	0.02%
90094	大名城	6,107,221	0.26%
90096	雲天化	203,761	0.01%
90098	廣州發展	1,177,266	0.04%
90100	同方股份	15,394,128	0.51%
90101	明星電力	53,751	0.01%
90104	上汽集團	345,970,179	3.00%
90105	永鼎股份	657,953	0.05%
90106	重慶路橋	1,534,781	0.13%
90108	亞盛集團	2,158,048	0.11%
90109	國金證券	23,579,432	0.77%
90110	諾德股份	11,620	0.00%
90111	北方稀土	25,255,282	0.69%
90112	天成控股	229,309	0.04%
90113	浙江東日	4,434	0.00%
90114	東睦股份	17,866,959	2.81%
90115	東方航空	54,229,829	0.55%
90116	三峽水利	7,247,779	0.72%
90118	中國衛星	8,176,027	0.69%
90119	長江投資	688,018	0.22%
90120	浙江東方	121,184	0.01%
90121	鄭州煤電	100	0.00%
90122	宏圖高科	4,205,309	0.36%
90123	蘭花科創	3,821,100	0.33%
90125	鐵龍物流	34,440,547	2.63%
90132	重慶啤酒	5,699	0.00%
90135	樂凱膠片	226,980	0.06%
90138	中青旅	40,556,159	5.60%
90141	興發集團	4,794,917	0.79%
90143	金發科技	5,472,790	0.21%
90150	*ST船舶	957,827	0.06%
90153	建發股份	24,432,336	0.86%
90155	華創陽安	1,858,360	0.16%
90157	永泰能源	14,056,276	0.11%
90158	中體產業	3,891,257	0.59%
90160	巨化股份	5,274,071	0.19%
90161	天壇生物	1,316,267	0.15%
90162	香江控股	6,617,035	0.27%
90166	福田汽車	5,665,997	0.08%
90167	聯美控股	245,652	0.02%
90168	武漢控股	394,537	0.05%
90169	太原重工	2,648,945	0.10%
90170	上海建工	17,958,810	0.21%
90171	上海貝嶺	1,306,700	0.19%
90172	黃河旋風	6,160,101	0.52%
90173	臥龍地產	899,584	0.12%
90175	美都能源	33,030,044	1.34%
90176	中國巨石	176,972,103	5.05%
90177	雅戈爾	33,746,399	0.94%
90180	瑞茂通	3,370,092	0.33%
90183	生益科技	24,730,515	1.16%
90185	格力地產	4,539,343	0.22%
90188	兗州煤業	3,800,103	0.12%
90190	錦州港	1,217,224	0.06%
90195	中牧股份	624,520	0.10%
90196	復星醫藥	32,658,158	1.71%
90197	伊力特	1,093,901	0.24%
90200	江蘇吳中	1,889,734	0.26%
90201	生物股份	28,190,150	2.47%
90206	有研新材	1,663,800	0.19%
90208	新湖中寶	44,976,995	0.52%
90210	紫江企業	2,541,852	0.16%
90216	浙江醫藥	9,808,474	1.03%
90218	全柴動力	101	0.00%
90219	南山鋁業	82,727,771	1.16%
90221	海航控股	17,140,449	0.10%
90226	瀚葉股份	1,009,459	0.05%
90230	滄州大化	272,063	0.06%
90231	凌鋼股份	8,297,259	0.46%
90233	圓通速遞	2,427,999	0.30%
90236	桂冠電力	15,779,755	0.43%
90238	*ST椰島	1,600	0.00%
90239	雲南城投	2,848,901	0.17%
90240	華業資本	4,230,450	0.29%
90246	萬通地產	3,300	0.00%
90248	延長化建	4,471	0.00%
90251	冠農股份	906,141	0.11%
90252	中恆集團	5,742,930	0.16%
90255	夢舟股份	4,266,388	0.24%
90256	廣彙能源	3,642,879	0.05%
90257	大湖股份	345,607	0.08%
90258	首旅酒店	66,048,886	10.57%
90259	廣晟有色	309,606	0.11%
90260	凱樂科技	4,199,168	0.66%
90261	陽光照明	2,176,888	0.14%
90266	北京城建	7,108,615	0.45%
90267	海正藥業	2,768,178	0.28%
90268	國電南自	62,301	0.00%
90269	贛粵高速	12,384,009	0.53%
90270	外運發展	5,658,544	0.62%
90271	航天信息	18,951,312	1.02%
90273	嘉化能源	30,585,661	2.08%
90276	恆瑞醫藥	528,450,369	14.43%
90277	億利潔能	1,147,206	0.04%
90278	東方創業	193,422	0.03%
90280	中央商場	1,155,755	0.10%
90282	南鋼股份	78,331	0.00%
90284	浦東建設	9,906,845	1.02%
90285	羚銳製藥	3,230,394	0.60%
90289	*ST信通	119,471	0.02%
90290	華儀電氣	293,737	0.05%
90291	西水股份	2,035,905	0.20%
90292	遠達環保	1,003,705	0.12%
90295	鄂爾多斯	1,756,140	0.28%
90297	廣匯汽車	26,397,934	0.36%
90298	安琪酵母	75,737,175	9.19%
90299	安迪蘇	1,066,613	0.18%
90300	維維股份	1,511,400	0.09%
90305	恆順醋業	3,649,522	0.46%
90307	酒鋼宏興	1,979,808	0.03%
90309	萬華化學	45,228,407	1.65%
90310	桂東電力	4,265,356	0.51%
90312	平高電氣	2,695,459	0.19%
90315	上海家化	8,726,730	1.30%
90316	洪都航空	356,978	0.04%
90317	營口港	321,233	0.00%
90318	新力金融	62,786	0.01%
90321	*ST正源	226,801	0.01%
90323	瀚藍環境	26,652,725	3.47%
90325	華發股份	13,149,699	0.68%
90326	西藏天路	612,884	0.07%
90327	大東方	1,638,359	0.22%
90329	中新藥業	3,084,296	0.54%
90332	白雲山	6,702,265	0.62%
90333	長春燃氣	5,900	0.00%
90335	國機汽車	1,018,936	0.09%
90337	美克家居	2,223,221	0.15%
90338	西藏珠峰	758,838	0.11%
90340	華夏幸福	20,448,251	0.69%
90343	航天動力	1,395,196	0.21%
90345	長江通信	1,350,438	0.68%
90346	恆力股份	6,989,368	0.76%
90348	陽泉煤業	31,028,392	1.29%
90350	山東高速	19,476,225	0.40%
90351	亞寶藥業	807,541	0.11%
90352	浙江龍盛	24,678,794	0.75%
90353	旭光股份	2,000	0.00%
90362	江西銅業	7,935,910	0.38%
90363	聯創光電	1,072,881	0.24%
90366	寧波韻升	3,539,833	0.35%
90369	西南證券	8,186,958	0.14%
90372	中航電子	2,978,723	0.16%
90373	中文傳媒	4,555,533	0.33%
90375	華菱星馬	308,701	0.05%
90376	首開股份	4,221,620	0.16%
90377	寧滬高速	40,921,031	1.07%
90378	天科股份	2,881	0.00%
90380	健康元	6,284,070	0.39%
90381	青海春天	1,670	0.00%
90382	廣東明珠	4,600	0.00%
90383	金地集團	37,202,572	0.82%
90386	北巴傳媒	506,652	0.06%
90387	海越能源	993,856	0.25%
90388	龍淨環保	2,266,728	0.21%
90389	江山股份	19,600	0.00%
90391	航發科技	2,350,879	0.71%
90392	盛和資源	241,251	0.01%
90393	粵泰股份	11,397,009	1.15%
90395	盤江股份	3,729,129	0.22%
90396	金山股份	221,650	0.01%
90397	*ST安煤	562,483	0.05%
90398	海瀾之家	72,563,271	1.61%
90399	*ST撫鋼	1,231,708	0.10%
90400	紅豆股份	2,711,707	0.10%
90403	大有能源	85,459	0.00%
90405	動力源	183,960	0.03%
90406	國電南瑞	109,435,263	4.96%
90409	三友化工	4,801,034	0.23%
90410	華勝天成	2,000,592	0.18%
90415	小商品城	12,626,282	0.23%
90416	湘電股份	2,206,492	0.25%
90418	江淮汽車	1,953,287	0.10%
90420	現代製藥	4,171,433	0.72%
90422	昆藥集團	1,199,328	0.17%
90425	青松建化	87,887	0.00%
90426	華魯恆升	13,712,314	0.84%
90428	中遠海特	1,493,027	0.08%
90433	冠豪高新	723,247	0.05%
90435	北方導航	4,907,801	0.32%
90436	片仔？	7,341,153	1.21%
90438	通威股份	23,848,185	0.85%
90439	瑞貝卡	32,607,819	2.88%
90446	金證股份	3,672,878	0.43%
90449	寧夏建材	651,839	0.13%
90452	涪陵電力	218,952	0.09%
90458	時代新材	772,223	0.11%
90459	貴研鉑業	1,010,005	0.29%
90460	士蘭微	7,303,349	0.58%
90466	藍光發展	24,354,777	0.81%
90467	好當家	159,100	0.01%
90468	百利電氣	494,278	0.06%
90469	風神股份	300	0.00%
90470	六國化工	800	0.00%
90477	杭蕭鋼構	4,435,553	0.27%
90478	科力遠	95,692	0.00%
90479	千金藥業	551,004	0.15%
90480	凌雲股份	428,093	0.11%
90481	雙良節能	2,126,974	0.13%
90482	中國動力	9,044,571	0.99%
90483	福能股份	2,427,139	0.19%
90485	信威集團	3,830,715	0.21%
90486	揚農化工	8,159,543	2.63%
90487	亨通光電	20,474,800	1.10%
90488	天藥股份	963,430	0.10%
90489	中金黃金	14,817,096	0.42%
90490	鵬欣資源	1,477,542	0.09%
90491	龍元建設	5,884,134	0.62%
90495	晉西車軸	1,114,535	0.09%
90496	精工鋼構	2,413,886	0.15%
90497	馳宏鋅鍺	32,045,817	0.74%
90498	烽火通信	8,702,087	0.84%
90499	科達潔能	2,730,243	0.19%
90500	中化國際	3,493,148	0.16%
90501	航天晨光	719,481	0.17%
90502	安徽水利	2,328,526	0.25%
90503	華麗家族	7,875,076	0.49%
90507	方大特鋼	15,199,368	1.14%
90508	上海能源	100	0.00%
90509	天富能源	1,891,313	0.20%
90510	黑牡丹	1,032,488	0.12%
90511	國藥股份	6,446,480	2.32%
90513	聯環藥業	109,561	0.03%
90516	方大炭素	19,409,766	1.12%
90517	置信電氣	2,060,184	0.16%
90518	康美藥業	31,992,431	0.72%
90519	貴州茅台	91,755,872	7.30%
90521	華海藥業	16,283,350	1.32%
90522	中天科技	16,328,331	0.59%
90523	貴航股份	9,520	0.00%
90525	長園集團	19,546,469	1.49%
90526	菲達環保	2,308,363	0.42%
90527	江南高纖	4,162,934	0.34%
90528	中鐵工業	5,844,845	0.31%
90531	豫光金鉛	1,052,706	0.09%
90532	宏達礦業	60,411	0.01%
90535	天士力	62,201,052	4.11%
90536	中國軟件	3,475,831	0.70%
90537	億晶光電	1,327,556	0.11%
90545	卓郎智能	836,167	0.12%
90546	山煤國際	156,699	0.00%
90547	山東黃金	10,277,010	0.70%
90548	深高速	10,829,339	0.75%
90549	廈門鎢業	9,499,951	0.67%
90551	時代出版	1,607,597	0.31%
90552	凱盛科技	2,217,284	0.29%
90557	康緣藥業	2,755,244	0.46%
90559	老白干酒	2,857,875	0.58%
90561	江西長運	19,900	0.00%
90562	國睿科技	1,273,936	0.21%
90563	法拉電子	747,722	0.33%
90565	迪馬股份	2,877,208	0.12%
90566	濟川藥業	6,133,930	0.75%
90567	山鷹紙業	162,729,265	3.56%
90568	中珠醫療	20,243,265	1.21%
