70651	格力電器	486,357,698	8.08%
70652	泰達股份	373,601	0.02%
70656	金科股份	15,367,672	0.28%
70657	中鎢高新	12,861,507	1.46%
70661	長春高新	1,414,969	0.83%
70662	天夏智慧	1,475,159	0.13%
70665	湖北廣電	549,823	0.08%
70666	經緯紡機	3,308,733	0.63%
70667	美好置業	6,471,945	0.25%
70669	金鴻控股	604,205	0.08%
70671	陽 光 城	14,166,266	0.34%
70673	當代東方	2,497,246	0.31%
70676	智度股份	4,535,403	0.46%
70680	山推股份	46,099	0.00%
70681	視覺中國	2,801,490	0.39%
70683	遠興能源	22,706,957	0.57%
70685	中山公用	1,965,764	0.13%
70686	東北證券	1,943,960	0.08%
70687	華訊方舟	1,358,719	0.17%
70688	國城礦業	279,895	0.02%
70690	寶新能源	9,506,733	0.43%
70697	煉石有色	3,982,755	0.71%
70700	模塑科技	43,519	0.00%
70701	廈門信達	273,992	0.06%
70703	恆逸石化	5,964,332	0.25%
70709	河鋼股份	34,350,859	0.32%
70710	貝瑞基因	10,233,364	2.88%
70712	錦龍股份	2,722,218	0.30%
70717	韶鋼松山	8,466,145	0.34%
70718	蘇寧環球	21,973,142	0.72%
70719	中原傳媒	1,281,235	0.12%
70722	湖南發展	3,800	0.00%
70723	美錦能源	4,004,191	0.09%
70725	京東方Ａ	507,967,716	1.50%
70726	魯 泰Ａ	30,721,252	5.46%
70727	華東科技	9,274,873	0.20%
70728	國元證券	7,367,991	0.21%
70729	燕京啤酒	22,346,018	0.79%
70732	泰禾集團	5,004,240	0.40%
70733	振華科技	597,340	0.12%
70735	羅 牛 山	939,489	0.08%
70738	航發控制	881,630	0.07%
70739	普洛藥業	7,320,922	0.62%
70750	國海證券	5,955,662	0.14%
70751	鋅業股份	1,039,601	0.07%
70756	新華製藥	236,336	0.05%
70758	中色股份	8,341,161	0.42%
70760	斯太爾	500,000	0.06%
70761	本鋼板材	1,409,879	0.04%
70762	西藏礦業	407,077	0.07%
70766	通化金馬	1,135,306	0.11%
70767	漳澤電力	2,956,454	0.09%
70768	中航飛機	7,410,916	0.26%
70776	廣發證券	17,791,117	0.30%
70777	中核科技	100,800	0.02%
70778	新興鑄管	122,621,254	3.07%
70783	長江證券	11,838,450	0.21%
70786	北新建材	31,972,329	1.89%
70789	萬年青	12,705,458	2.07%
70792	鹽湖股份	29,210,997	1.04%
70793	華聞傳媒	1,811,737	0.09%
70795	英洛華	247,402	0.02%
70796	凱撒旅遊	139,043	0.01%
70797	中國武夷	3,822,812	0.29%
70799	酒鬼酒	1,162,658	0.35%
70800	一汽轎車	7,889,531	0.48%
70801	四川九洲	227,284	0.02%
70802	北京文化	510,898	0.07%
70806	銀河生物	1,420,966	0.12%
70807	雲鋁股份	7,288,773	0.27%
70810	創維數字	769,901	0.07%
70811	冰輪環境	998,963	0.15%
70815	美利雲	226,711	0.03%
70816	*ST慧業	6,614,173	0.46%
70818	航錦科技	4,778,896	0.69%
70819	岳陽興長	3,217	0.00%
70821	京山輕機	1,101,490	0.20%
70822	山東海化	182,944	0.02%
70823	超聲電子	874,586	0.16%
70825	太鋼不鏽	21,331,960	0.37%
70826	啟迪桑德	6,190,194	0.43%
70828	東莞控股	589,883	0.05%
70829	天音控股	17,791,607	1.67%
70830	魯西化工	14,024,262	0.95%
70831	五礦稀土	78,600	0.00%
70836	鑫茂科技	452,648	0.03%
70838	財信發展	436,760	0.03%
70839	中信國安	6,154,508	0.15%
70848	承德露露	39,738,984	4.06%
70851	高鴻股份	36,538	0.00%
70856	冀東裝備	18,200	0.00%
70858	五 糧 液	279,590,947	7.20%
70860	順鑫農業	12,203,184	2.13%
70861	海印股份	678,971	0.03%
70863	三湘印象	1,659,498	0.12%
70869	張 裕Ａ	1,763,919	0.38%
70875	吉電股份	4,112,543	0.19%
70876	新 希 望	26,725,608	0.63%
70877	天山股份	2,440,093	0.23%
70878	雲南銅業	1,693,045	0.11%
70881	中廣核技	614,443	0.05%
70882	華聯股份	689,024	0.02%
70883	湖北能源	31,192,751	0.47%
70885	同力水泥	61,028	0.01%
70887	中鼎股份	22,083,301	1.78%
70888	峨眉山Ａ	2,276,825	0.43%
70889	茂業通信	1,100,190	0.17%
70893	*ST東凌	712,365	0.09%
70895	雙匯發展	139,709,112	4.23%
70897	津濱發展	38,388	0.00%
70898	鞍鋼股份	337,118,654	5.48%
70900	現代投資	2,704,940	0.17%
70901	航天科技	541,861	0.08%
70902	新洋豐	5,340,252	0.40%
70903	雲內動力	1,682,199	0.08%
70905	廈門港務	2,200	0.00%
70908	景峰醫藥	203,172	0.02%
70910	大亞聖象	6,829,140	1.23%
70915	山大華特	554,980	0.23%
70917	電廣傳媒	1,873,292	0.13%
70918	嘉凱城	532,800	0.02%
70919	金陵藥業	538,953	0.10%
70920	南方匯通	47,500	0.01%
70921	海信科龍	3,184,853	0.35%
70922	*ST佳電	400	0.00%
70925	眾合科技	1,040,300	0.18%
70926	福星股份	3,808,655	0.39%
70928	中鋼國際	1,284,645	0.10%
70930	中糧生化	4,003,035	0.41%
70931	中 關 村	23,090	0.00%
70932	華菱鋼鐵	74,976,165	2.48%
70933	神火股份	1,015,208	0.05%
70935	四川雙馬	158,469	0.02%
70936	華西股份	170,571	0.01%
70937	冀中能源	4,056,175	0.11%
70938	紫光股份	3,026,838	0.20%
70939	*ST凱迪	1,939,681	0.04%
70951	中國重汽	11,118,305	1.65%
70957	中通客車	393,095	0.06%
70958	東方能源	157,853	0.01%
70959	首鋼股份	19,611,083	0.37%
70960	錫業股份	756,183	0.04%
70961	中南建設	31,842,501	0.85%
70963	華東醫藥	46,263,155	3.17%
70965	天保基建	203,680	0.01%
70966	長源電力	11,800	0.00%
70968	藍焰控股	2,788,505	0.28%
70969	安泰科技	307,323	0.02%
70970	中科三環	2,558,727	0.24%
70971	高升控股	855,795	0.08%
70973	佛塑科技	34,108	0.00%
70975	銀泰資源	7,260,611	0.36%
70976	華鐵股份	5,896,089	0.36%
70977	浪潮信息	4,637,801	0.35%
70979	中弘股份	15,376,814	0.18%
70980	眾泰汽車	864,776	0.04%
70981	銀億股份	3,329,602	0.08%
70983	西山煤電	12,992,915	0.41%
70987	越秀金控	456,575	0.02%
70988	華工科技	1,668,275	0.16%
70989	九 芝 堂	1,359,908	0.15%
70990	誠志股份	1,726,790	0.13%
70997	新 大 陸	2,925,797	0.28%
70998	隆平高科	14,516,659	1.15%
70999	華潤三九	67,892,060	6.93%
71696	宗申動力	631,329	0.05%
71896	豫能控股	1,255,535	0.10%
71965	招商公路	23,386,760	0.37%
71979	招商蛇口	77,367,742	0.97%
72001	新 和 成	6,737,602	0.31%
72002	鴻達興業	2,382,807	0.09%
72004	華邦健康	3,333,984	0.16%
72005	德豪潤達	3,265	0.00%
72007	華蘭生物	9,769,957	1.05%
72008	大族激光	139,202,483	13.04%
72010	傳化智聯	449,854	0.01%
72011	盾安環境	1,493,522	0.16%
72013	中航機電	11,664,548	0.32%
72016	世榮兆業	5,494,917	0.67%
72018	*ST華信	130,299	0.00%
72019	億帆醫藥	1,605,879	0.13%
72020	京新藥業	2,290,355	0.31%
72021	中捷資源	150,068	0.02%
72022	科華生物	18,936,831	3.67%
72023	海特高新	3,886,092	0.51%
72024	蘇寧易購	77,624,148	0.83%
72025	航天電器	1,188,714	0.27%
72027	分眾傳媒	583,775,784	3.97%
72028	思源電氣	7,883,467	1.03%
72029	七 匹 狼	20,699,225	2.73%
72030	達安基因	386,526	0.04%
72031	巨輪智能	697,112	0.03%
72032	蘇 泊 爾	33,698,450	4.10%
72033	麗江旅游	1,584,836	0.28%
72035	華帝股份	4,813,280	0.55%
72036	聯創電子	5,050,038	0.91%
72038	雙鷺藥業	3,335,459	0.48%
72040	南 京 港	111	0.00%
72041	登海種業	3,001,686	0.34%
72042	華孚時尚	4,872,506	0.32%
72043	兔 寶 寶	275,177	0.03%
72044	美年健康	18,735,411	0.60%
72045	國光電器	4,591,100	0.98%
