70001	平安銀行	366,090,956	2.13%
70002	萬 科Ａ	181,544,833	1.86%
70005	世紀星源	2,014	0.00%
70006	深振業Ａ	720,047	0.05%
70008	神州高鐵	3,218,333	0.11%
70009	中國寶安	7,712,727	0.35%
70011	深物業A	40,210	0.00%
70012	南 玻Ａ	1,734,286	0.09%
70016	深康佳Ａ	9,174,400	0.57%
70018	神州長城	292,852	0.02%
70019	深深寶A	2,610	0.00%
70021	深科技	1,208,171	0.08%
70022	深赤灣Ａ	44,687	0.00%
70025	特力Ａ	85,000	0.03%
70027	深圳能源	7,716,367	0.19%
70028	國藥一致	2,768,350	0.74%
70030	富奧股份	1,151,691	0.06%
70031	中糧地產	19,254,404	1.06%
70034	神州數碼	1,369,922	0.20%
70035	中國天楹	528,200	0.03%
70036	華聯控股	825,035	0.07%
70039	中集集團	9,795,443	0.77%
70040	東旭藍天	6,323,171	0.47%
70042	中洲控股	263,836	0.03%
70043	中航善達	440,555	0.06%
70045	深紡織Ａ	3	0.00%
70046	泛海控股	975,294	0.01%
70049	德賽電池	80,100	0.03%
70050	深天馬Ａ	5,633,571	0.27%
70055	方大集團	1,287	0.00%
70058	深 賽 格	841,811	0.08%
70059	華錦股份	4,928,294	0.30%
70060	中金嶺南	21,845,851	0.61%
70061	農 產 品	1,572,786	0.09%
70062	深圳華強	2,936,159	0.40%
70063	中興通訊	16,128,679	0.46%
70065	北方國際	572,400	0.07%
70066	中國長城	3,519,624	0.11%
70068	華控賽格	5,222,632	0.51%
70069	華僑城Ａ	23,179,793	0.28%
70070	特發信息	690,639	0.11%
70078	海王生物	4,654,174	0.17%
70088	鹽 田 港	668,309	0.03%
70089	深圳機場	69,908,908	3.40%
70090	天健集團	1,086,937	0.07%
70096	廣聚能源	12,235,527	2.31%
70099	中信海直	4,739,393	0.78%
70100	TCL 集團	39,565,034	0.29%
70150	宜華健康	1,361,060	0.21%
70155	川化股份	106,074	0.00%
70156	華數傳媒	2,540,254	0.17%
70157	中聯重科	72,114,094	1.12%
70158	常山北明	4,115,245	0.24%
70166	申萬宏源	53,402,616	0.23%
70301	東方市場	332,159	0.00%
70333	美的集團	870,683,761	13.10%
70338	濰柴動力	217,977,070	3.60%
70400	許繼電氣	3,895,641	0.38%
70401	冀東水泥	9,148,246	0.67%
70402	金 融 街	8,799,423	0.29%
70407	勝利股份	314,469	0.03%
70409	*ST地礦	5,090	0.00%
70413	東旭光電	14,791,142	0.26%
70415	渤海金控	7,273,063	0.11%
70417	合肥百貨	2,549,183	0.32%
70418	小天鵝Ａ	33,073,348	7.49%
70422	*ST宜化	29,500	0.00%
70423	東阿阿膠	44,556,746	6.81%
70425	徐工機械	218,716,495	2.79%
70426	興業礦業	517,937	0.02%
70428	華天酒店	50,000	0.00%
70429	粵高速Ａ	3,413,075	0.19%
70488	晨鳴紙業	6,077,436	0.36%
70498	山東路橋	520,262	0.04%
70501	鄂武商Ａ	907,391	0.11%
70503	國新健康	6,875,707	0.76%
70506	中潤資源	54,974	0.00%
70507	珠海港	338,656	0.04%
70510	金路集團	939,525	0.15%
70513	麗珠集團	5,060,941	1.06%
70514	渝 開 發	109,524	0.01%
70516	國際醫學	1,952,607	0.09%
70517	榮安地產	667,156	0.02%
70518	四環生物	118,933	0.01%
70519	中兵紅箭	76,299	0.00%
70523	廣州浪奇	3,071	0.00%
70525	紅 太 陽	1,230,054	0.21%
70528	柳 工	58,160,658	5.16%
70531	穗恆運Ａ	10,189	0.00%
70532	華金資本	127	0.00%
70533	萬 家 樂	3,149,111	0.45%
70536	華映科技	6,876,758	0.24%
70537	廣宇發展	2,337,948	0.12%
70538	雲南白藥	83,020,245	7.97%
70539	粵電力Ａ	4,200,972	0.09%
70540	中天金融	5,409,040	0.07%
70541	佛山照明	2,395,615	0.22%
70543	皖能電力	721,220	0.04%
70546	金圓股份	141,025	0.01%
70547	航天發展	3,367,062	0.23%
70550	江鈴汽車	514,023	0.09%
70552	靖遠煤電	46,637,386	2.03%
70553	沙隆達Ａ	110,346	0.00%
70555	神州信息	1,438,457	0.14%
70558	萊茵體育	807,653	0.06%
70559	萬向錢潮	6,193,409	0.22%
70560	我愛我家	823,727	0.03%
70561	烽火電子	11,376	0.00%
70563	陝國投Ａ	6,970,205	0.17%
70564	供銷大集	757,099	0.01%
70566	海南海藥	145,018	0.01%
70568	瀘州老窖	32,789,429	2.23%
70571	新大洲Ａ	218,810	0.02%
70572	海馬汽車	1,433,637	0.08%
70576	廣東甘化	3,420,678	0.77%
70581	威孚高科	24,777,350	2.96%
70582	北部灣港	389,363	0.02%
70584	哈工智能	566,481	0.09%
70585	*ST東電	167,613	0.02%
70587	金洲慈航	4,611,995	0.21%
70591	太陽能	7,380,090	0.24%
70592	平潭發展	16,552,774	0.85%
70596	古井貢酒	2,162,434	0.56%
70598	興蓉環境	8,668,657	0.29%
70600	建投能源	15,523,921	0.86%
70601	韶能股份	3,796,501	0.35%
70603	盛達礦業	111,573	0.01%
70605	渤海股份	298	0.00%
70607	華媒控股	408,962	0.04%
70612	焦作萬方	2,002,756	0.16%
70615	京漢股份	375,464	0.04%
70616	海航投資	123,400	0.00%
70617	中油資本	304,932	0.00%
70620	新華聯	1,263,711	0.06%
70623	吉林敖東	2,250,576	0.19%
70625	長安汽車	11,334,132	0.29%
70627	天茂集團	9,274,680	0.18%
